Designator,Mid X,Mid Y,Rotation,Layer
B1,125.3,-112.8,315.0,top
C1,178.1,-100.9,90.0,top
C10,148.265,-104.8,0.0,top
C11,148.265,-106.5,0.0,top
C12,185.65,-96.7,180.0,top
C13,183.45,-94.44176,90.0,top
C14,183.7,-110.25,135.0,top
C15,182.8,-112.051472,225.0,top
C16,151.4625,-109.05,180.0,top
C17,154.5625,-109.05,0.0,top
C18,186.6,-100.75,180.0,top
C19,171.5,-92.55,180.0,top
C2,152.7,-111.55,270.0,top
C20,167.6175,-118.55,0.0,top
C21,175.6,-96.18,90.0,top
C22,172.65,-88.2,90.0,top
C23,178.05,-88.2,90.0,top
C24,124.2,-86.5,90.0,top
C25,125.9,-87.8,270.0,top
C26,125.1,-99.9,180.0,top
C27,149.146457,-93.569857,270.0,top
C28,170.15,-109.55,0.0,top
C29,163.3,-109.5,315.0,top
C3,175.6,-106.3,180.0,top
C4,180.7,-105.53,90.0,top
C5,173.6,-99.4,90.0,top
C6,160.352464,-114.1,180.0,top
C7,168.9,-99.7,180.0,top
C8,167.9,-102.469,90.0,top
C9,135.45,-108.65,0.0,top
D1,131.465,-107.1,180.0,top
D2,138.4,-109.1,90.0,top
D3,132.5,-110.95,135.0,top
G1,137.275,-112.450114,180.0,top
G10,139.575057,-114.774943,0.0,top
G11,141.875057,-117.05,180.0,top
G12,139.6,-119.300038,0.0,top
G13,144.099943,-112.475057,180.0,top
G14,137.275057,-114.774943,90.0,top
G15,144.11,-117.03,180.0,top
G16,137.28,-119.300114,90.0,top
G2,144.102312,-114.774943,90.0,top
G3,137.28,-117.050114,180.0,top
G4,144.1,-119.3,90.0,top
G5,139.575,-112.450114,270.0,top
G6,141.875057,-114.774943,0.0,top
G7,139.599943,-117.05,270.0,top
G8,141.875057,-119.297263,0.0,top
G9,141.875,-112.450114,180.0,top
J1,112.8875,-102.795,270.0,top
J2,162.575,-105.6,270.0,top
JP1,140.1,-106.15,180.0,top
JP2,125.105,-97.775,180.0,top
JP3,135.825,-99.0,0.0,bottom
L1,160.35,-111.6,0.0,top
P1,121.657893,-93.807107,45.0,top
Q1,164.6,-95.8,0.0,top
Q2,147.3,-114.7,0.0,top
Q3,164.11,-90.9,180.0,top
Q4,168.91,-90.9,180.0,top
R1,122.85,-105.05,270.0,top
R10,153.9625,-104.15,180.0,top
R11,180.15,-115.85,270.0,top
R12,181.45,-115.85,270.0,top
R13,171.5,-93.65,180.0,top
R14,180.1,-93.25,270.0,top
R15,176.5,-115.8,90.0,top
R16,179.65,-95.75,180.0,top
R17,179.65,-97.1,180.0,top
R18,176.6,-96.2,90.0,top
R19,125.9,-94.3,270.0,top
R2,122.85,-100.45,90.0,top
R20,148.65,-89.8,270.0,top
R21,158.0,-95.0,0.0,top
R22,147.65,-93.6,90.0,top
R23,162.61,-87.97,180.0,top
R24,160.61,-90.47,270.0,top
R25,167.46,-87.95,180.0,top
R26,170.325,-87.95,0.0,top
R27,164.4,-101.05,270.0,top
R3,155.55,-116.4,270.0,top
R4,156.059999,-114.7,180.0,top
R5,146.565,-108.5,90.0,top
R6,140.065,-108.8,90.0,top
R7,161.3,-95.15321,180.0,top
R8,149.84,-115.14,90.0,top
R9,144.9,-105.55,180.0,top
RN1,172.6,-113.87,270.0,top
S1,132.214911,-121.05,180.0,top
TH1,141.265,-108.8,270.0,top
U1,178.1,-105.0,270.0,top
U10,186.45,-103.101472,270.0,top
U11,176.35,-92.7625,0.0,top
U12,166.6675,-116.2,270.0,top
U13,136.615,-91.36,0.0,top
U14,153.95,-91.224905,180.0,top
U15,166.745,-107.3,180.0,top
U16,117.6,-118.7,135.0,top
U2,124.8,-103.4,315.0,top
U3,155.91,-111.66,0.0,top
U4,171.0,-102.4,180.0,top
U5,143.665,-108.1,0.0,top
U6,153.2125,-106.4,90.0,top
U7,186.05,-94.368972,90.0,top
U8,185.35,-113.601472,135.0,top
U9,177.9,-113.3,0.0,top
Y1,175.35,-88.7,180.0,top
